Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,00:00,12,13,25,12,13,25,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,01:00,6,8,14,6,8,14,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,02:00,5,4,9,5,4,9,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,03:00,2,2,4,2,2,4,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,04:00,3,4,7,3,4,7,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,05:00,2,6,8,2,6,8,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,06:00,3,13,16,3,13,16,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,07:00,27,42,69,27,42,69,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,08:00,95,87,182,95,87,182,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,09:00,93,148,241,93,148,241,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,10:00,220,223,443,220,223,443,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,11:00,298,310,608,298,310,608,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,12:00,332,317,649,332,317,649,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,13:00,439,429,868,439,429,868,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,14:00,529,491,1020,529,491,1020,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,15:00,472,514,986,472,514,986,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,16:00,467,518,985,467,518,985,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,17:00,299,311,610,299,311,610,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,18:00,183,196,379,183,196,379,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,19:00,158,178,336,158,178,336,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,20:00,89,111,200,89,111,200,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,21:00,83,90,173,83,90,173,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,22:00,53,54,107,53,54,107,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Monday,05-Apr-21,23:00,21,12,33,21,12,33,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,00:00,15,6,21,15,6,21,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,01:00,6,6,12,6,6,12,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,02:00,5,0,5,5,0,5,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,03:00,2,5,7,2,5,7,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,04:00,3,5,8,3,5,8,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,05:00,14,13,27,14,13,27,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,06:00,27,27,54,27,27,54,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,07:00,129,101,230,129,101,230,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,08:00,217,144,361,217,144,361,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,09:00,221,313,534,221,313,534,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,10:00,405,440,845,405,440,845,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,11:00,551,515,1066,551,515,1066,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,12:00,658,694,1352,658,694,1352,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,13:00,710,667,1377,710,667,1377,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,14:00,578,615,1193,578,615,1193,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,15:00,530,676,1206,530,676,1206,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,16:00,515,621,1136,515,621,1136,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,17:00,329,354,683,329,354,683,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,18:00,258,245,503,258,245,503,No Group
Leeds - New,Albion Street at McDonalds,2021,April,14,Tuesday,06-Apr-21,19:00,164,185,349,164,185,349,No Group
